carrera,institucion,sede,direccion,web,coordenadas,enlace
Diseño Gráfico,IP DUOC UC,Sede Viña del Mar,"Álvarez 2330, Viña del Mar",http://www.duoc.cl/carrera/diseno-grafico,https://goo.gl/maps/dD51iuQoMXv,http://www.duoc.cl
Diseño Gráfico,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-grafico,https://goo.gl/maps/Wbe2zLcBg752,http://www.duoc.cl
Diseño Gráfico,IP DUOC UC,Sede Plaza Vespucio,"Froilán Roa 7107, La Florida",http://www.duoc.cl/carrera/diseno-grafico,https://goo.gl/maps/Upff3G1Ka332,http://www.duoc.cl
Diseño Gráfico,IP DUOC UC,Sede Plaza Oeste,"Av. Américo Vespucio 1501, Cerrillos, Santiago",http://www.duoc.cl/carrera/diseno-grafico,https://goo.gl/maps/nA9nLczhg7G2,http://www.duoc.cl
Diseño Gráfico,IP DUOC UC,Sede San Andrés de Concepción,"Paicaví 3280, Concepción",http://www.duoc.cl/carrera/diseno-grafico,https://goo.gl/maps/TMFCzAMULZL2,http://www.duoc.cl
Diseño Gráfico,IP SANTO TOMÁS,Sede Ruta 5 Norte,"Ruta 5 Norte 1068, La Serena",http://ipcft.santotomas.cl/carreras/diseno-grafico/,https://goo.gl/maps/YeBkB5RksJx,http://ipcft.santotomas.cl
Diseño Gráfico,IP SANTO TOMÁS,Sede San Joaquín,"Vicuña Mackenna 4835, San Joaquín, Santiago",http://ipcft.santotomas.cl/carreras/diseno-grafico/,https://goo.gl/maps/2xuthi6Rt652,http://ipcft.santotomas.cl
Diseño Gráfico,IP SANTO TOMÁS,Sede Talca,"Carlos Schorr 255, Talca",http://ipcft.santotomas.cl/carreras/diseno-grafico/,https://goo.gl/maps/acpf2RRk3nn,http://ipcft.santotomas.cl
Diseño Gráfico,IP SANTO TOMÁS,Sede Concepción,"Arturo Prat 879, Concepción",http://ipcft.santotomas.cl/carreras/diseno-grafico/,https://goo.gl/maps/6jQEJuGtXim,http://ipcft.santotomas.cl
Diseño Gráfico,IP SANTO TOMÁS,Sede Valdivia,"Av. Ramón Picarte 1160, Valdivia",http://ipcft.santotomas.cl/carreras/diseno-grafico/,https://goo.gl/maps/9Sm2chCPfE42,http://ipcft.santotomas.cl
Diseño Gráfico,IP SANTO TOMÁS,Sede Puerto Montt,"Buena Vecindad 91, Puerto Montt",http://ipcft.santotomas.cl/carreras/diseno-grafico/,https://goo.gl/maps/fibgWkQypcL2,http://ipcft.santotomas.cl
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,Sede Valparaíso,"Brasil 2950, Valparaíso",http://www.pucv.cl/pucv/pregrado/diseno-grafico/2015-06-08/161054.html,https://goo.gl/maps/Hcr3CWamw5m,http://www.pucv.cl
Diseño Gráfico,UNIVERSIDAD ANDRÉS BELLO,Sede Viña del Mar,"Quillota 980, Viña del Mar",http://www.unab.cl/admision/carreras/diseno-grafico/,https://goo.gl/maps/bvGQdXQcdwn,http://www.unab.cl
Diseño Gráfico,UNIVERSIDAD ANDRÉS BELLO,Campus Casona Las Condes,"Fernández Concha 700, Las Condes",http://www.unab.cl/admision/carreras/diseno-grafico/,https://goo.gl/maps/WddxutfyD3C2,http://www.unab.cl
Diseño Gráfico,UNIVERSIDAD CATÓLICA DE TEMUCO,Sede Temuco,"Av. Alemania 422, Temuco",https://admision.uct.cl/dis-grafico/,https://goo.gl/maps/E3n9FY5KMS92,https://admision.uct.cl
Diseño Gráfico,UNIVERSIDAD DE CHILE,Campus Andrés Bello,"Portugal 84, Santiago",http://www.fau.uchile.cl/diseno,https://goo.gl/maps/ES9GFFLBoUP2,http://www.fau.uchile.cl
Diseño Gráfico,UNIVERSIDAD DE LAS AMÉRICAS,Campus Providencia,"Av. Manuel Montt 948, Providencia, Santiago",http://admision.udla.cl/carrera/diseno-grafico,https://goo.gl/maps/J4K4bmUNHcu,http://admision.udla.cl
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,Sede Concepción,"Av. Casilla 5-C - Collao 1202, Concepción",http://ubiobio.cl/admision/Arquitectura_Construccion_Diseno/3/Diseno_Grafico/,https://goo.gl/maps/vMeHgPK6A9s,http://ubiobio.cl
Diseño Gráfico,UNIVERSIDAD DEL PACÍFICO,Sede Las Condes,"Av. Las Condes 11121, Las Condes, Santiago",http://web.upacifico.cl/noticias/categoria/carreras/diseno-grafico/,https://goo.gl/maps/Xveih2YFZc42,http://web.upacifico.cl
Diseño Gráfico Computacional,CFT ICEL,Sede Alameda,"Av Libertador Bernardo O'Higgins 2520, Santiago, Santiago",http://www.icel.cl/diseno-grafico-computacional/,https://goo.gl/maps/AK8UBq1b1PP2,http://www.icel.cl
Diseño Gráfico Computacional,CFT ICEL,Sede Maipú,"Av. Pajáritos 4650, Maipú, Santiago",http://www.icel.cl/diseno-grafico-computacional/,https://goo.gl/maps/M1HS5oiqKW32,http://www.icel.cl
Diseño Gráfico Profesional,IP AIEP,Sede Barrio Universitario,"Av. Ejército 49, Santiago, Santiago",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/6z1kFpRGxt42,http://www.aiep.cl
Diseño Gráfico Profesional,IP AIEP,Sede Providencia,"Triana 820, Providencia, Santiago",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/Kta1schWPbv,http://www.aiep.cl
Diseño Gráfico Profesional,IP AIEP,Sede Rancagua,"Cuevas 70, Rancagua",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/RbuQ9iqk3GL2,http://www.aiep.cl
Diseño Gráfico Profesional,IP AIEP,Sede Concepción,"Barros Arana 302, Concepción",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/RA3Q6YoNhD62,http://www.aiep.cl
Diseño Gráfico Profesional,IP AIEP,Sede Puerto Montt,"Ejército 200, Puerto Montt",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/8BaZrizJXuD2,http://www.aiep.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Iquique,"Av. La Tirana 4310, Iquique",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/KYHUpSCLCL32,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP La Serena,"Francisco de Aguirre 389, La Serena",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/skyp5x6xWBk,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes, Santiago",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/hT2LZLMa58Q2,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Peréz Rosales,"Brown Nte 290, Ñuñoa, Santiago",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/6QcfNys8yrn,http://www.inacap.cl
